训练月,沉默月,验证月,人群,样本,结果率,规则人群规模,规则 AUC,LR AUC (OOF),LR Top-k 率
2019-10,,2019-11,未购人群(首购),133927,0.057329739335608206,5408,0.5282516449633697,0.6734351356298658,0.16309171597633135
2019-10,2019-11,2019-12,已购人群(复购),17520,0.21324200913242009,1384,0.466127129987162,0.6176367201335752,0.38583815028901736
2019-11,,2019-12,未购人群(首购),162503,0.05704510070583312,17612,0.5838170412212392,0.6955581178062407,0.150068135362253
2019-11,2019-12,2020-01,已购人群(复购),22545,0.15764027500554448,1824,0.4723530593394549,0.6456749038514735,0.3645833333333333
2019-12,,2020-01,未购人群(首购),204007,0.027562779708539414,21243,0.5785005116819627,0.6968990386659978,0.07324765805206421
2019-12,2020-01,2020-02,已购人群(复购),25286,0.1738906905006723,2042,0.47328424054746504,0.6424651879189495,0.3952007835455436
2020-01,,2020-02,未购人群(首购),201808,0.03456255450725442,19182,0.58776611500039,0.7186440577627671,0.10666249609008445
2020-01,2020-02,2020-03,已购人群(复购),18045,0.20387919091160986,1591,0.47074496777958375,0.6453325947749617,0.4072910119421747
2020-02,,2020-03,未购人群(首购),191625,0.041836921069797785,19893,0.5913702441258558,0.7215251188480589,0.12542100236264012
2020-02,2020-03,2020-04,已购人群(复购),19826,0.14728134772520932,1848,0.4672329391040548,0.6058739480511904,0.25487012987012986
2020-03,,2020-04,未购人群(首购),182820,0.04106771687999125,17555,0.560076156361996,0.6964553319664282,0.10731985189404727
